date;aapl;abt;agn;aig;all;amgn;amzn;axp;ba;bac;biib;bk;bmy;c;cat;celg;cl;cof;cop;cost;csco;cvs;cvx;dd;dhr;dis;dow;duk;emr;exc;f;fdx;gd;ge;gild;hal;hd;hon;ibm;intc;jnj;jpm;ko;lly;lmt;low;mcd;mdt;mmm;mo;mrk;ms;msft;nee;nke;orcl;oxy;pep;pfe;pg;qcom;rtn;sbux;slb;so;spg;t;tgt;twx;txn;unh;unp;usb;utx;vz;wba;wfc;wmt;xom
2013-11-27;0.7787493;3.6911761;1.1970479;0.5702902;0.5459857;0.6736052;0.7565093;0.3636857;1.1042052;0.6892879;2.8603596;2.1451479;0.8138242;0.2894955;0.2018762;2.0245510;0.5529694;0.4592792;0.9793634;0.3271904;0.7490815;0.6796645;0.4015768;0.2962562;0.4335534;0.5501486;0.4081771;0.3365112;0.2226819;0.3716800;0.9714341;0.6967016;0.3142706;0.2319921;1.2304659;1.7161502;0.6809748;0.3346921;0.3627325;0.6621005;0.3076904;0.3202290;1.2371963;0.4274084;0.7011431;0.8748577;0.5229671;0.4027090;0.1819003;0.3329097;0.3119802;0.5867600;0.2923337;0.6925064;0.4616492;0.9622190;1.2780112;0.3517485;0.6718122;0.4988294;0.6057379;0.4603950;0.4466474;0.9870165;0.4765083;0.5403062;0.1664317;0.5674679;0.5129139;0.5937807;0.7685214;0.5680729;0.3131756;0.2237075;0.2909676;0.8435968;0.3106271;0.2909167;0.3986039
2013-11-29;0.5934770;0.5454075;0.9225688;0.6998487;0.5335081;0.6611746;0.7975153;0.2899583;0.3425749;0.4882680;4.7547088;0.7999691;1.5180380;0.5130160;0.3749516;0.6385215;0.4914118;0.3942301;0.5595026;0.3765493;0.2622331;0.8016448;0.3045428;0.3349382;0.2718709;0.8483537;0.8740538;0.5728184;0.3595880;0.6120675;0.6906417;0.8110879;0.3183820;0.2865878;0.7012995;1.5271068;0.7650062;0.3150925;0.4195704;0.4739123;0.2202637;0.3989556;0.3947365;0.6574267;0.5277158;0.4936165;0.2450160;0.4123991;0.2341505;0.3877017;0.2140530;0.6702530;0.7663221;0.9838537;0.4336109;0.4712335;1.1150905;0.2816045;0.3746078;0.6852042;0.2773035;0.5209773;0.6471800;1.1634080;0.4444268;0.8573669;0.2133828;0.7823053;0.5368241;0.2461937;0.2605671;0.3786641;0.7412901;0.1424565;0.7927073;0.8407312;0.4405924;0.3425423;0.3474835
2013-12-02;2.5653689;0.5549307;0.6619883;1.5989904;0.5167206;0.6963175;2.2568153;0.4208677;0.7215981;0.6455738;2.6495888;0.5672021;0.7644486;0.8274844;0.5355297;1.4279439;0.6055550;0.6854365;1.1176982;0.8832556;0.7924734;1.1543700;0.4323931;0.4285401;0.5446580;0.6001628;1.5178657;0.8530121;0.4703627;2.0080165;0.8096939;0.8141914;0.5330569;0.4973989;2.3288891;1.7637183;1.1899239;0.5094516;0.3845602;1.1101979;0.3396004;0.8004620;1.4516000;0.9779028;0.9343774;1.5105119;0.6449407;0.5365710;1.2645480;0.4393418;0.6940448;1.6240778;1.3462492;1.0287914;0.9017216;0.7041139;1.1398025;0.9408660;0.5705445;0.7490187;0.4181605;0.7408180;0.7268268;1.0006030;0.9172979;1.0452396;0.3530676;0.5231768;0.8829289;0.5971335;0.9506957;1.2546668;0.2346952;0.3512707;0.8802911;0.7753117;0.6440335;0.6772458;0.3112446
2013-12-03;1.1908012;1.4014760;1.2042316;1.3977619;0.6285807;0.8852291;1.5296061;0.9645096;1.0960192;1.2431732;3.2396231;1.5126241;0.8923806;1.0304786;0.4272589;1.4766718;0.4543377;0.6834820;0.8704298;0.5621842;0.6195450;0.6872479;0.3911424;0.7045446;0.7346373;0.9755961;2.3263482;0.7056106;0.9209122;0.7306079;2.6256381;0.6929964;0.5895929;0.6354624;2.1866325;2.1783763;0.9290189;0.5848474;0.5861445;0.5380062;0.4356888;1.0698796;0.3536154;0.5997181;1.1706436;3.3855570;0.7188912;0.5201573;1.5186705;0.5872579;0.5162108;2.0445988;0.3779908;0.4587163;1.1608546;0.4886382;1.3509493;0.3227494;0.8523447;0.6323111;0.3522176;0.8799168;0.5822468;1.7178543;0.7811312;0.6447641;0.3828733;1.4828487;0.6919183;0.6996558;3.9582060;0.6608054;1.3062179;0.6817830;0.2985949;0.9806421;0.7860112;0.6130301;0.5053782
2013-12-04;1.3081068;1.2733055;2.4331307;2.7468692;0.7474875;0.8442840;1.9882157;0.9776051;1.0544991;1.8039759;4.3270616;1.3539464;1.7947321;2.1335397;1.0019144;2.4423732;0.9452177;0.9575432;1.0913262;0.7082198;0.9767561;1.3369612;0.7640623;0.9526346;0.8559782;1.0269519;2.0137056;0.6948556;1.0977163;1.1335176;1.8754461;1.5649200;1.1174010;1.4224510;3.1821446;2.4711106;1.3246449;1.2765726;0.7261402;1.4459415;0.4673790;1.2138565;0.8127533;0.7672613;1.8083809;1.8684218;0.3171046;0.9808669;0.9837990;0.7025398;1.1633721;1.6722277;1.3932712;0.6774918;1.0118629;0.5352563;1.3609254;0.5106446;1.2933688;0.6929197;0.6560800;3.2434190;0.9459389;2.0262237;1.1236997;1.0915730;0.8424252;1.4175168;1.4003852;1.0408001;1.6167100;1.8393018;1.4669065;1.0901807;0.9220053;2.5228431;1.2191202;0.7636749;0.5832309
2013-12-05;0.9604855;0.4975332;2.2825499;0.9479757;0.8417757;0.9878934;1.2942119;0.8814639;1.4764862;0.8447503;3.3964277;0.4278394;2.1228003;1.0022232;0.9712011;1.7951522;0.4895568;0.8567555;1.4427585;1.0226166;0.5852151;1.1508103;0.5424101;0.5753035;0.8903370;0.7385100;1.2145694;0.7496647;0.6690917;1.6330317;2.6982905;1.0383170;0.8721262;1.1820367;1.3757947;1.4202003;0.8719025;0.7835805;0.5596757;0.8558334;0.6301610;0.9944140;0.5987763;0.7090010;0.9768203;1.4920113;0.2190555;0.4878707;0.5745286;0.5242103;0.4993491;1.3837706;5.6097452;0.6045807;0.7554776;0.6668661;1.1496452;0.5195084;1.4246388;0.9556032;0.3411129;1.8581403;0.7418389;1.2147864;0.8880339;1.1627594;0.9703710;1.3616697;0.8521034;0.6612108;0.8496490;0.9389549;0.5539896;0.4945987;1.2661918;2.2491287;0.7492262;0.7123849;0.3860686
2013-12-06;0.6132318;0.6278351;1.7824936;0.8675079;0.5698028;1.5286752;0.9630389;0.3557849;0.5350404;1.1350492;5.0441265;0.5476930;1.7848111;1.4146388;0.2901275;1.6176387;0.5515503;0.8035181;1.2504997;0.7815813;0.4811976;0.8266194;0.5369801;0.8030779;0.7113765;0.5022397;0.9487932;0.7924548;0.3487413;1.8415892;1.0088129;0.8072262;0.8696042;0.5607333;1.0215967;1.4579847;0.5516939;0.3668601;0.4261644;1.2595685;0.4693362;1.3273123;0.7045539;0.5552227;0.4947570;1.7385625;0.3110120;0.5990346;0.6045255;0.4415907;0.6401224;0.9510880;1.0833626;0.7289412;0.6818523;0.7852127;0.9619614;0.4393538;0.8312675;0.9584013;0.4744735;1.3806420;0.4660881;0.8769866;0.8741777;0.4622857;0.6601595;1.5770152;0.5821878;0.7242894;0.6660213;0.6994681;0.9685427;0.4049638;1.0192810;1.7062939;0.6134353;0.5003331;0.3701913
2013-12-09;0.7897348;0.5326609;1.2539318;0.9627023;0.6260012;0.8782285;0.8512170;0.6560143;0.7586273;0.3317075;2.9687116;0.8098623;2.6305918;0.6287916;0.6152808;3.3952166;0.4773380;0.5507173;1.0563852;0.7172403;0.4354333;0.7918499;0.6196326;0.4937204;0.5152928;0.5260855;1.9826631;0.5771253;0.1901035;1.8996215;0.7568713;0.5549396;0.3768032;0.5704699;2.4999953;1.2858375;0.6817008;0.4324092;0.6248143;1.2343115;0.3543398;0.5261251;0.4052855;0.5055918;0.4233793;0.8180945;0.4616618;0.7566352;0.3190372;0.6801124;0.3344551;0.6195392;1.1352108;0.4315025;0.6130837;0.6602242;1.6013116;0.5307546;0.7568573;0.2842305;0.8049230;0.9451882;0.4095636;1.1503915;1.1949417;1.2864102;0.5474454;0.8803651;0.9690038;0.4870820;0.6085335;0.6031140;0.4181315;0.3102354;0.6863024;1.3007724;0.6277476;0.4080598;0.4699041
2013-12-10;0.5044702;0.6512232;3.9436579;0.8984358;1.0406048;1.0595862;0.7305624;0.7728429;1.1315962;1.5464325;3.2211300;1.0531061;0.7845133;3.4601301;0.7043296;3.2069018;0.8018811;1.1894608;1.0774248;0.4870234;0.3149612;10.6587890;0.4520620;0.4800883;0.5953194;0.6434491;1.5793625;0.6224318;0.6100771;1.7262028;1.4411160;0.8552125;0.4018380;0.5072297;12.2747397;1.2746094;1.5207057;0.3360310;0.4224104;0.8697186;0.3012997;1.5374355;1.0535601;0.5408905;0.4814631;0.5857127;0.4329216;0.3137719;0.3310253;0.6980513;0.7740991;3.3269204;1.6811350;1.0738222;0.5713174;0.8801060;0.5481168;0.6212058;0.7023124;0.5271698;0.5946984;0.6201628;7.6824118;0.8376290;1.3834539;0.8017892;0.7348756;0.8102935;1.5073749;0.7005297;0.6317265;1.2765857;0.7347403;0.4873671;0.7350230;1.4412426;0.7566910;0.3749666;0.2796147
2013-12-11;0.8150837;1.0114323;2.1891737;0.9541411;0.6149717;0.9070324;1.7445663;0.9201981;0.6121427;0.9990160;3.8602934;1.3830107;1.0930605;1.1778315;0.7208387;2.6213463;0.6592822;1.2008657;0.9642347;2.8526518;1.1247683;1.9938717;0.7689103;0.9249266;0.8423916;0.8223924;1.5646685;0.5216328;0.8916733;0.7586312;1.3116359;0.8668644;0.6939753;0.6268993;5.3426874;2.7660660;1.4183913;0.8014213;0.7147271;0.9086718;0.7390542;0.8577151;0.6520668;0.4607917;0.5817273;0.7264973;0.1385156;1.6140838;1.0160122;0.5675423;0.6119594;1.1648735;1.3717041;0.9788054;1.6235805;0.9963692;1.0468269;0.3374757;1.6521478;0.3828360;0.6363413;0.9224552;0.8276945;1.2316241;0.7918142;0.9691062;0.3541095;0.4731736;0.9680372;0.5609310;1.3068296;0.7550596;1.0954841;0.7050757;0.9878143;1.0804198;0.7941335;0.5424130;0.5060689
2013-12-12;0.7607526;0.8671279;1.7058851;2.4533175;0.5558999;0.7266316;2.4652609;1.0992346;1.2276093;1.3054587;3.0854854;1.0994774;0.9842571;1.3656129;0.6872429;3.6069114;0.9406773;0.7533664;1.2665337;0.8486268;1.9274033;0.6478739;1.1052247;0.6108189;2.3635810;1.0917642;1.6281956;0.8744297;0.5187828;1.5590826;1.6954278;1.0502353;0.4338864;0.9085067;3.0476682;2.6372907;1.2461297;0.6938062;0.7484822;1.1498821;0.6969126;0.8021518;0.8150881;0.4464963;0.7351015;0.8628609;0.4756045;0.3981489;0.8112349;1.1202843;0.8489205;1.3894088;0.7759888;0.8149485;2.4557524;1.7566389;1.4568066;0.6123201;1.0695517;0.9059562;0.7862623;0.7470213;0.7124079;1.4695497;0.7357161;0.8065523;0.7504623;0.5920192;1.0266138;1.0209051;0.9205051;0.7198344;0.6222772;0.7475092;0.9326349;1.3054056;0.6020532;0.4349147;1.0458820
2013-12-13;0.8688650;0.4939155;1.6897179;0.9812057;0.4964290;1.3538355;1.5650844;0.8595579;0.7623525;1.1695248;2.5129761;0.8892451;0.9124292;0.7723355;0.3129713;1.6290584;0.7521395;0.8252234;0.6563409;0.8496246;1.2244277;0.8920146;0.8983036;0.5613598;0.5230403;0.8291053;1.9813531;0.5183076;0.6383638;1.7226459;2.0645507;1.3070714;0.3293255;0.7329146;2.0139394;0.8022899;1.2292899;1.6387891;0.7594912;1.6895662;0.5234502;0.6565142;0.9451256;0.3835951;0.3799525;0.7846241;0.4389723;0.4786213;0.5563373;0.6852088;0.7338706;1.1793312;2.5457795;0.5954924;1.3347078;0.6072649;0.8261380;0.4974586;0.9502143;0.5955663;0.6600555;0.3464829;0.7066432;0.7775716;0.4633968;4.6881314;0.5515204;0.8822142;0.9369431;0.6916587;1.2498456;0.8726001;0.4445752;0.9233132;0.9776115;1.3573582;0.4729658;0.5846717;0.4597899
2013-12-16;1.0436629;1.2261933;1.1846141;1.1979124;0.4760191;1.2363159;1.3927464;1.1071305;0.8180643;0.7345067;2.9204555;0.5006146;0.8795375;0.5970723;0.4160362;2.1699515;0.5717530;0.5873847;0.6379540;0.6243706;1.4433052;1.0473806;0.5057374;0.8034478;0.7115595;1.0239714;1.4821758;0.5644221;0.4076750;1.7870623;1.2379183;0.6046682;0.3853893;0.4515913;1.2611454;1.5611022;0.7559114;0.5672239;1.0335683;1.0471924;0.7129708;1.1196379;0.4638959;0.7421132;0.6644515;0.8697396;0.6669203;0.7047149;1.3493869;0.2552512;0.5358395;0.7765399;0.7963637;0.8012184;0.5349274;0.6434626;0.6307644;0.3733048;1.1576019;0.4828630;0.5844113;0.7263778;1.1503921;0.9717371;0.8365011;0.6781357;1.1812188;0.4578348;0.8683512;0.7294455;1.1386238;0.4387814;0.7033847;0.8181351;1.5879708;0.6956150;0.3051607;0.3506384;3.1836673
2013-12-17;0.9631576;0.7721399;2.3731677;1.2272898;0.8324752;2.2399102;1.5325032;0.7597313;2.1887325;0.8108886;2.7787904;0.8866991;1.7409210;0.8810645;0.6296055;3.0406388;0.4523095;0.8177537;0.6331381;0.9562367;1.1349894;1.2562718;0.4339472;0.4146685;0.9167584;1.0036561;1.0270526;0.5656839;0.6788040;0.7973063;1.5369235;0.6205518;0.3268815;0.3212340;4.1426320;1.7874593;0.5683020;1.2311057;0.6045397;0.8967367;0.5965983;1.1625511;0.5713096;0.8707071;0.4553963;0.6949116;0.3908592;4.4608915;0.9652639;0.3982518;0.6575438;1.4478534;1.9190498;1.1960215;1.0210571;0.5533323;0.6811085;0.4669496;0.8694557;0.5258871;0.6302388;0.4199081;0.9567998;0.6724273;0.5120069;0.5361382;0.7119591;0.9222705;0.6148550;0.3863443;0.7132404;0.6809739;0.6880701;0.6719123;0.6604175;1.3377505;0.7393283;0.3939962;0.5210887
2013-12-18;2.9027664;4.2088734;5.3775647;1.3980898;1.0506988;2.0387812;3.6173782;1.7151425;1.9473079;2.8523329;5.9317887;3.0111263;4.4219875;2.4465663;0.9332704;3.3648155;1.8509700;1.7569764;1.5494720;1.3188645;2.2769131;3.9085091;1.5533028;1.7491291;1.5495815;1.7028116;2.3866540;2.2421753;1.8136615;2.8537276;7.5840532;2.5968743;1.4324720;1.6631340;7.3953568;3.0200843;2.0055605;2.0985410;1.0543749;2.0569376;1.8847607;1.6564747;1.7836743;2.1281781;1.5046706;3.2707345;0.8326742;2.3280684;1.9295789;1.3093950;1.8189759;2.9490529;2.2370207;1.8003005;1.5137943;1.8299454;2.4211027;0.9161540;2.3368428;1.9899942;1.4373376;1.8481745;1.4261262;3.2639935;2.6229751;3.4293637;1.6239133;1.6562772;2.3867678;1.0403124;1.3884650;1.5265555;1.3923826;1.2565617;1.4883145;1.8646401;2.0139885;0.7723676;2.2281402
